CAS	Name	A	B	C	Tmin	Tmax
1741-01-1	Trimethyl hydrazine	21.254357088645488	2737.612494613411	-51.239	257.0	292.0
1741-83-9	Methyl pentyl sulfide	15.674801968855107	1069.1915724212272	-185.288	321.0	349.0
1746-13-0	Allyl phenyl ether	21.592491709551666	4095.407780005419	-58.062	354.0	455.0
1755-01-7	endo-Dicyclopentadiene	38.36590307797609	23812.473864919644	445.04	313.0	422.0
1755-05-1	cis-Bicyclo[3.3.0]octane	21.819089108553207	3760.908940961081	-41.575	298.0	318.0
1758-88-9	2-Ethyl-1,4-dimethylbenzene	20.334589473249018	3424.2203434933053	-71.15	340.0	492.0
1759-58-6	trans-1,3-Dimethylcyclopentane	20.614560794706165	2837.153248183544	-51.73	270.0	389.0
1768-32-7	Bistrifluoromethyl-amino sulfenyl chloride	22.001200563558108	3357.169065585319	0.0	245.0	318.0
1789-58-8	Dichloroethylsilane	22.425244634283892	3831.5015947420925	2.85	279.0	347.0
1792-17-2	1,3-Dibutylurea	33.364457997483726	12157.649291008562	0.0	354.0	465.0
1792-81-0	cis-1,2-Cyclohexanediol	20.30702752968588	5262.72631874968	0.0	289.0	320.0
1795-09-1	2-Methylthia-cyclopentane	20.88219026006486	3245.4936885751076	-58.742	303.0	433.0
1795-15-9	Octylcyclohexane	26.097038926975916	7545.041755170099	0.0	367.0	399.0
1795-16-0	Decylcyclohexane	21.082469111453484	4397.3618813453795	-110.65	429.0	606.0
1795-17-1	Dodecylcyclohexane	21.094212295427752	4551.519953321331	-126.15	458.0	637.0
1795-18-2	Tetradecylcyclo-hexane	21.151546664243305	4711.089100265818	-138.15	486.0	665.0
1795-20-6	Octylcyclopentane	20.98691183009423	3983.0116938611004	-95.85	393.0	549.0
1795-21-7	Decylcyclopentane	21.018894737035914	4203.944733533879	-109.671	423.0	586.0
1795-22-8	Tetradecylcyclo-pentane	21.15615183442929	4563.723654314199	-138.15	475.0	648.0
1795-26-2	r-1, c-3, t-5-trimethylcyclohexane	21.20795999902166	3780.8447226962235	-23.15	301.0	443.0
1795-27-3	cis-1,3,5-Trimethylcyclohexane	24.844041196921346	6090.664538052456	49.728	318.0	343.0
1806-29-7	2,2'-Biphenyldiol	24.90798398495379	8398.333738931833	30.004	444.0	599.0
1806-34-4	2,2'-(1,4-Phenylene)bis(5-phenyl)oxazole	25.846517668858162	11351.744508460646	0.0	600.0	680.0
1809-10-5	3-Bromopentane	20.519302849409	2986.335433773535	-61.814	303.0	394.0
1809-19-4	Dibutyl phosphonate	20.55034169646256	4543.460905495852	0.0	298.0	438.0
1809-20-7	Diisopropyl phosphite	21.153618990827	4584.677178660445	0.0	318.0	467.0
1813-29-2	Trifluoroacetic acid 4-methylphenyl ester	22.925987814457304	4591.244151345664	-39.778	365.0	441.0
1814-88-6	1,1,1,2,2-Pentafluoropropane	20.887555283331537	2054.6519405208187	-36.114	232.0	333.0
