CAS	Tt	Tm	Tb	Tc	Pt	Pc	Vc	Hfs	Hfl	Hfg	S0s	S0l	S0g	Hsub	Hfus	Hvap	AntoineTmin	AntoineTmax	AntoineA	AntoineB	AntoineC
107926	267.99649	267.7268	436	623.14835		4037707			-533920	-475900		225.35075	353.26			59000	293	423	25.580661	6066.0937	-3.471
107937		344.73024	455.88603														353	458	24.701189	5595.4775	-33.526
107948		314	477.2																		
107959								-476672.97		-424000				134000							
107960												228.9									
107971								-513102.84		-367200				146000							
107982			392.1343	579.8		4113000										46300					
1070015									-738000												
1070322			458.95																		
1070548		359.8																			
1070719			315.7							354000											
1070753								-62000			58.44										
1070786	237.74		432.18956						-208700			284.3									
1070833		280	461.91446													64000					
1070877	206.61	207	395.4	574.60682		2489318.3				-241500		331.8	430.16			38464.751	316.11	396.42	20.56121	3062.1227	-56.52
1071223	307.9										246										
1071267		160	405	576.69852		2350000			-288200	-246100						42300					
1071314		319	459.00627																		
1071392									10450	64050						53600					
1071814		258	410.69071	581.40682		2189454.6				-285000						43500					
1071938								-493100													
1071983			349.7						500400	533137.13			290.11	44246		28900					
107133437								-294300		-218000				76300							
1072055		169.81817	408													43300					
1072168		220	433.1													47700	279.4	432.9	20.810856	3425.4039	-64.162
1072395		334.65																			
1072431			345.7							11000											
1072442			300.7																		
1072522			441.2																		
1072624			541.2					-21300		68300				89600							
1072679								-61840		20000											
1072726										-155000				72600		72630					
1072828														94700							
1072839		363	493.12218											81200							
1072851			429																		
1073058		334.2																			
1073069			423.09716																		
1073070		220																			
1073672			465.2																		
1074120																	348	466.7	24.716501	5650.4655	-38.162
1074175		212.82891	457						-72515.661							52700					
